time_log,キャプチャ時間,書き出し処理時間,画像処理時間,モータ制御開始から終了,1ループ
0,31.4741,13.3505,0.652058,16.3979,28.0144
62,2.10272,4.89368,0.643246,16.7634,62.3397
87,7.90956,1.75907,0.763826,16.7694,25.0365
115,11.9949,1.5578,0.623768,16.3947,27.8488
146,11.8664,1.51977,0.49855,16.5412,31.0284
177,14.9672,1.5629,0.648348,16.2277,30.8753
211,13.9061,1.56568,0.521739,16.3719,33.9738
244,11.8609,1.54759,0.514782,16.3566,32.9391
274,10.9727,1.66307,0.505043,16.403,30.9398
305,16.6924,1.54852,0.635362,16.3167,30.0267
340,8.71234,1.65565,0.681739,16.4452,35.8799
369,30.4547,1.61067,0.680811,17.3686,28.1354
419,9.59026,1.52672,0.632116,16.4712,50.7798
448,14.6592,1.65287,0.657623,16.3358,28.8682
483,12.2087,1.54296,0.626087,16.5083,34.3689
514,12.5741,1.56707,0.630261,16.6623,31.5056
546,11.4718,1.52116,0.631188,16.6915,32.0287
577,12.505,1.53785,0.631652,16.5593,30.9315
609,14.5224,1.50168,0.649275,16.589,31.885
643,12.569,1.54667,0.597333,16.5913,33.9232
675,10.522,1.56336,0.654377,16.4721,32.0376
705,12.2152,1.84023,0.669217,16.5676,30.0517
737,28.0709,1.48359,0.708174,16.8631,32.0185
785,14.2261,1.62922,0.678492,16.6015,47.7607
819,12.3065,1.5091,0.630724,16.9057,33.8495
851,12.2124,1.64916,0.65113,16.8051,31.9828
882,12.2054,1.56707,0.646029,16.7875,31.9225
914,11.2399,1.55548,0.64,16.8983,31.8938
945,12.1081,1.52904,0.641855,16.8807,31.0335
