time[ms],x,y,arc,pos
2,0,0,0,0
3,-22,23,0,0
11,-22,23,0,0
11,-47,45,0,0
20,-72,63,0,0
28,-100,85,0,0
37,-125,107,0,0
45,-147,132,0,0
52,-171,162,0,0
60,-195,191,0,0
67,-223,221,0,0
76,-247,247,0,0
83,-272,272,0,0
92,-301,298,0,0
99,-327,326,0,0
107,-352,355,0,0
116,-380,385,0,0
124,-410,412,0,0
132,-436,438,0,0
139,-462,466,0,0
148,-488,492,0,0
156,-513,520,0,0
163,-538,546,0,0
172,-567,572,0,0
179,-593,597,0,0
188,-617,625,0,0
196,-642,650,0,0
203,-668,680,0,0
212,-693,706,0,0
219,-720,737,0,0
227,-750,773,0,0
235,-776,807,0,0
244,-800,835,0,0
251,-822,857,0,0
259,-841,880,0,0
267,-860,902,0,0
276,-878,927,0,0
283,-898,953,0,0
291,-916,978,0,0
300,-930,1002,0,0
307,-948,1023,0,0
315,-968,1046,0,0
324,-987,1068,0,0
331,-1007,1093,0,0
340,-1031,1117,0,0
347,-1053,1145,0,0
356,-1072,1173,0,0
364,-1093,1203,0,0
371,-1118,1230,0,0
380,-1146,1255,0,0
389,-1173,1281,0,0
396,-1198,1306,0,0
404,-1223,1331,0,0
412,-1250,1357,0,0
420,-1277,1382,0,0
428,-1306,1407,0,0
435,-1335,1435,0,0
443,-1363,1458,0,0
452,-1393,1483,0,0
459,-1422,1508,0,0
468,-1451,1533,0,0
475,-1481,1557,0,0
483,-1510,1583,0,0
492,-1538,1608,0,0
499,-1567,1635,0,0
507,-1596,1658,0,0
516,-1622,1681,0,0
523,-1648,1705,0,0
531,-1672,1732,0,0
539,-1698,1756,0,0
548,-1723,1781,0,0
556,-1746,1805,0,0
564,-1770,1828,0,0
571,-1792,1852,0,0
579,-1813,1877,0,0
588,-1837,1906,0,0
595,-1860,1932,0,0
603,-1880,1956,0,0
612,-1905,1982,0,0
619,-1928,2008,0,0
627,-1953,2036,0,0
636,-1976,2062,0,0
643,-1998,2090,0,0
652,-2022,2117,0,0
659,-2048,2146,0,0
668,-2075,2173,0,0
675,-2105,2203,0,0
683,-2135,2233,0,0
691,-2160,2258,0,0
700,-2186,2282,0,0
708,-2215,2305,0,0
715,-2241,2331,0,0
723,-2267,2358,0,0
731,-2292,2383,0,0
740,-2317,2408,0,0
747,-2346,2435,0,0
755,-2346,2435,0,0
756,-2372,2461,0,0
765,-2400,2485,0,0
772,-2426,2510,0,0
780,-2452,2533,0,0
789,-2480,2561,0,0
797,-2507,2588,0,0
803,-2532,2613,0,0
811,-2558,2642,0,0
819,-2581,2666,0,0
828,-2601,2686,0,0
836,-2622,2703,0,0
844,-2641,2720,0,0
851,-2658,2736,0,0
860,-2675,2751,0,0
867,-2695,2766,0,0
876,-2716,2777,0,0
883,-2738,2786,0,0
891,-2757,2791,0,0
899,-2775,2797,0,0
907,-2792,2802,0,0
915,-2807,2806,0,0
923,-2824,2813,0,0
931,-2841,2820,0,0
940,-2860,2823,0,0
947,-2878,2830,0,0
956,-2900,2838,0,0
963,-2920,2852,0,0
972,-2938,2868,0,0
979,-2960,2887,0,0
987,-2985,2905,0,0
995,-3006,2922,0,0
1004,-3026,2937,0,0
1012,-3046,2948,0,0
1019,-3067,2962,0,0
1028,-3090,2976,0,0
1035,-3112,2993,0,0
1043,-3133,3007,0,0
1052,-3155,3021,0,0
1059,-3177,3033,0,0
1068,-3196,3043,0,0
1075,-3202,3049,0,0
1082,-3205,3051,0,0
1091,-3209,3053,0,0
1098,-3211,3055,0,0
1106,-3213,3056,0,0
1114,-3213,3056,0,0
1123,-3214,3056,0,0
1130,-3216,3057,0,0
1139,-3216,3057,0,0
